Id,Name,Latitude,Longitude,CountryCode,StatusId,ReactorTypeId,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,Source,LastUpdatedAt,IAEAId
85,Bruce-3,44.341000,-81.572000,CA,3,20,CANDU 750A,1972-07-01,1978-02-01,,770,WNA/IAEA,2021-04-20T02:47:37+03:00,30
86,Bruce-4,44.341000,-81.572000,CA,3,20,CANDU 750A,1972-09-01,1979-01-18,,769,WNA/IAEA,2021-04-20T02:47:37+03:00,31
87,Bruce-5,44.341000,-81.572000,CA,3,20,CANDU 750B,1978-06-01,1985-03-01,,822,WNA/IAEA,2015-05-24T04:50:24+03:00,38
88,Bruce-6,44.341000,-81.572000,CA,3,20,CANDU 750B,1978-01-01,1984-09-14,,822,WNA/IAEA,2015-05-24T04:50:24+03:00,39
89,Bruce-7,44.341000,-81.572000,CA,3,20,CANDU 750B,1979-05-01,1986-04-10,,822,WNA/IAEA,2015-05-24T04:50:24+03:00,41
90,Bruce-8,44.341000,-81.572000,CA,3,20,CANDU 750B,1979-08-01,1987-05-22,,795,WNA/IAEA,2015-05-24T04:50:25+03:00,42
91,Brunsbuettel,53.891000,9.202000,DE,5,5,BWR-69,1970-04-15,1977-02-09,2011-08-06,770,WNA/IAEA,2015-05-24T04:50:42+03:00,86
92,Brunswick-1,33.958000,-78.007000,US,3,5,BWR-4 (Mark 1),1970-02-07,1977-03-18,,821,WNA/IAEA,2015-05-24T04:51:46+03:00,662
93,Brunswick-2,33.958000,-78.007000,US,3,5,BWR-4 (Mark 1),1970-02-07,1975-11-03,,821,WNA/IAEA,2015-05-24T04:51:46+03:00,661
94,Bugey-1,45.796000,5.268000,FR,5,8,UNGG,1965-12-01,1972-07-01,1994-05-27,540,WNA/IAEA,2015-05-24T04:51:08+03:00,230
95,Bugey-2,45.796000,5.268000,FR,3,21,CP0,1972-11-01,1979-03-01,,920,WNA/IAEA,2015-05-24T04:50:51+03:00,165
96,Bugey-3,45.798000,5.268000,FR,3,21,CP0,1973-09-01,1979-03-01,,920,WNA/IAEA,2015-05-24T04:50:51+03:00,166
97,Bugey-4,45.800000,5.267000,FR,3,21,CP0,1974-06-01,1979-07-01,,900,WNA/IAEA,2015-05-24T04:50:51+03:00,167
98,Bugey-5,45.800000,5.267000,FR,3,21,CP0,1974-07-01,1980-01-03,,900,WNA/IAEA,2015-05-24T04:50:51+03:00,168
99,Bushehr-1,28.831000,50.887000,IR,3,21,VVER V-446,1975-05-01,2013-09-23,,915,WNA/IAEA,2015-05-24T04:51:26+03:00,310
100,Bushehr-2,28.828700,50.889500,IR,2,21,V-528 VVER-1000 AES-92 GIII+,2019-09-27,,,974,WNA/IAEA,2020-04-18T04:46:52+03:00,311
101,Bushehr-3,28.830500,50.887200,IR,1,,,,,,,WNA,,
102,Bushehr-4,28.830500,50.887200,IR,1,,,,,,,WNA,,
103,Byron-1,42.074000,-89.277000,US,3,21,WH 4LP (DRYAMB),1975-04-01,1985-09-16,,1120,WNA/IAEA,2017-02-10T23:59:17+02:00,735
104,Byron-2,42.074000,-89.277000,US,3,21,WH 4LP (DRYAMB),1975-04-01,1987-08-02,,1120,WNA/IAEA,2017-02-10T23:59:18+02:00,736
105,Calder Hall-1,54.420000,-3.491000,GB,5,8,MAGNOX,1953-08-01,1956-10-01,2003-03-31,35,WNA/IAEA,2015-05-24T04:51:09+03:00,231
106,Calder Hall-2,54.420000,-3.491000,GB,5,8,MAGNOX,1953-08-01,1957-02-01,2003-03-31,35,WNA/IAEA,2015-05-24T04:51:09+03:00,232
107,Calder Hall-3,54.420000,-3.491000,GB,5,8,MAGNOX,1955-08-01,1958-05-01,2003-03-31,35,WNA/IAEA,2015-05-24T04:51:10+03:00,233
108,Calder Hall-4,54.420000,-3.491000,GB,5,8,MAGNOX,1955-08-01,1959-04-01,2003-03-31,35,WNA/IAEA,2015-05-24T04:51:10+03:00,234
109,Callaway-1,38.763000,-91.781000,US,3,21,WH 4LP (DRYAMB),1975-09-01,1984-12-19,,1171,WNA/IAEA,2017-02-10T23:59:20+02:00,752
110,Calvert Cliffs-1,38.435000,-76.439000,US,3,21,CE 2LP (DRYAMB),1968-06-01,1975-05-08,,845,WNA/IAEA,2017-02-10T23:58:35+02:00,655
111,Calvert Cliffs-2,38.435000,-76.439000,US,3,21,CE 2LP (DRYAMB),1968-06-01,1977-04-01,,845,WNA/IAEA,2017-02-10T23:58:36+02:00,656
112,Caorso,45.072000,9.872000,IT,5,5,BWR-4 (Mark 2),1970-01-01,1981-12-01,1990-07-01,840,WNA/IAEA,2015-05-24T04:51:26+03:00,327
113,CAREM25,-33.966667,-59.211111,AR,2,21,CAREM Prototype (Integrated-PWR),2014-02-08,,,25,IAEA,2015-05-24T04:54:13+03:00,1055
114,Carolinas CVTR,34.263000,-81.330000,US,5,20,Prototype,1960-01-01,1963-12-18,1967-01-10,17,WNA/IAEA,2017-02-10T23:57:39+02:00,600
115,Catawba-1,35.053000,-81.071000,US,3,21,WH 4LP (ICECND),1974-05-01,1985-06-29,,1145,WNA/IAEA,2017-02-10T23:59:13+02:00,713
